#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Brevibacterium	Unclassified	HMSC063G07	NZ_KV802350.1	54579	131665	furan - lassopeptide - t1nrps hybrid	False	coelibactin	36	BGC0000324	https://antismash-db.secondarymetabolites.org/go/NZ_KV802350.1/54579-131665	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001810665.1/NZ_KV802350/1/54579/131665
Streptomyces	mirabilis	OV308	NZ_KN050746.1	41936	74650	furan	False	methylenomycin A	47	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_KN050746.1/41936-74650	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000745715.1/NZ_KN050746/1/41936/74650
Vibrio	mimicus	07-2442	NZ_VSGA01000019.1	175168	196170	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VSGA01000019.1/175168-196170	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008084745.1/NZ_VSGA01000019/1/175168/196170
Streptomyces	griseorubiginosus	BTU6	NZ_CP041168.1	7105115	7147947	furan - t1pks hybrid	False	methylenomycin A	19	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CP041168.1/7105115-7147947	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_006516935.1/NZ_CP041168/1/7105115/7147947
Ralstonia	solanacearum	RSCM	NZ_CP022481.1	2768299	2789166	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP022481.1/2768299-2789166	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003999715.1/NZ_CP022481/1/2768299/2789166
Gibbsiella	quercinecans	FRB97	NZ_CP014136.1	2117766	2138678	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP014136.1/2117766-2138678	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002291425.1/NZ_CP014136/1/2117766/2138678
Streptococcus	Unclassified	UMB0029	NZ_PNGD01000002.1	271	37768	furan - ras-ripp hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_PNGD01000002.1/271-37768	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002871495.1/NZ_PNGD01000002/1/271/37768
Ralstonia	solanacearum	RSCM	NZ_CP022794.1	3051936	3072803	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP022794.1/3051936-3072803	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003515225.1/NZ_CP022794/1/3051936/3072803
Microbacterium	Unclassified	SGAir0570	NZ_CP027929.1	1154899	1186852	furan - lipolanthine hybrid	False	microvionin	73	BGC0001669	https://antismash-db.secondarymetabolites.org/go/NZ_CP027929.1/1154899-1186852	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005491085.2/NZ_CP027929/1/1154899/1186852
Vibrio	cholerae	N2807	NZ_CP053823.1	1141355	1162357	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP053823.1/1141355-1162357	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013357825.1/NZ_CP053823/1/1141355/1162357
Pseudomonas	syringae	ICMP 9617	NZ_CM002753.1	5897540	5918476	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CM002753.1/5897540-5918476	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000658965.1/NZ_CM002753/1/5897540/5918476
Vibrio	cholerae	N2807	NZ_VSHN01000052.1	165952	186954	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VSHN01000052.1/165952-186954	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008083855.1/NZ_VSHN01000052/1/165952/186954
Bacillus	thuringiensis	AFS056597	NZ_NUGS01000045.1	19757	36173	furan	True	methylenomycin A	14	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_NUGS01000045.1/19757-36173	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002574495.1/NZ_NUGS01000045/1/19757/36173
Lactococcus	lactis	KF147	NC_013656.1	1207250	1283702	furan - t1nrps - transat-pks hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_013656.1/1207250-1283702	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000025045.1/NC_013656/1/1207250/1283702
Streptomyces	argenteolus	3259	NZ_VIWQ01000005.1	62346	212084	furan - hgle-ks - phosphonate - t1nrps - t1pks hybrid	False	JBIR-78 / JBIR-95	33	BGC0001628	https://antismash-db.secondarymetabolites.org/go/NZ_VIWQ01000005.1/62346-212084	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007829855.1/NZ_VIWQ01000005/1/62346/212084
Streptomyces	corchorusii	DSM 40340	NZ_KQ948351.1	548098	577008	butyrolactone - furan hybrid	False	methylenomycin A	14	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_KQ948351.1/548098-577008	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001514055.1/NZ_KQ948351/1/548098/577008
Rahnella	Unclassified	AA	NZ_PITQ01000005.1	226918	247899	furan	False	difficidin	13	BGC0000176	https://antismash-db.secondarymetabolites.org/go/NZ_PITQ01000005.1/226918-247899	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002834385.1/NZ_PITQ01000005/1/226918/247899
Lactiplantibacillus	plantarum	GB-LP1	NZ_CP035117.1	7129	28029	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP035117.1/7129-28029	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004087995.1/NZ_CP035117/1/7129/28029
Leucobacter	Unclassified	wl10	NZ_KZ983996.1	85010	105526	furan	False	tobramycin	5	BGC0000721	https://antismash-db.secondarymetabolites.org/go/NZ_KZ983996.1/85010-105526	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003569785.1/NZ_KZ983996/1/85010/105526
Leucobacter	Unclassified	wl10	NZ_KZ984007.1	0	17311	furan	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KZ984007.1/0-17311	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003569785.1/NZ_KZ984007/1/0/17311
Streptomyces	Unclassified	CMB-StM0423	NZ_CP025407.1	131565	152519	furan	False	streptobactin	11	BGC0000368	https://antismash-db.secondarymetabolites.org/go/NZ_CP025407.1/131565-152519	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002847285.1/NZ_CP025407/1/131565/152519
Pseudomonas	syringae	None	NZ_LT963407.1	0	11621	furan	True	colicin V	1	BGC0001555	https://antismash-db.secondarymetabolites.org/go/NZ_LT963407.1/0-11621	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900235835.1/NZ_LT963407/1/0/11621
Vibrio	mimicus	07-2442	NZ_VSIL01000003.1	68275	83624	furan	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VSIL01000003.1/68275-83624	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008083465.1/NZ_VSIL01000003/1/68275/83624
Ralstonia	solanacearum	RSCM	NZ_CP052084.1	3223194	3244061	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP052084.1/3223194-3244061	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013306315.1/NZ_CP052084/1/3223194/3244061
Bacillus	cereus	FORC087	NZ_NUUV01000024.1	2201	18288	furan	True	methylenomycin A	14	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_NUUV01000024.1/2201-18288	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002564355.1/NZ_NUUV01000024/1/2201/18288
Streptococcus	equi	H70	NZ_LS483328.1	2063041	2083968	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LS483328.1/2063041-2083968	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900474875.1/NZ_LS483328/1/2063041/2083968
Vibrio	cholerae	N2807	NZ_VSFQ01000034.1	68429	89431	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VSFQ01000034.1/68429-89431	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008084825.1/NZ_VSFQ01000034/1/68429/89431
Vibrio	mimicus	07-2442	NZ_CP035683.1	1070932	1091934	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP035683.1/1070932-1091934	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009665195.1/NZ_CP035683/1/1070932/1091934
Acinetobacter	baumannii	ZW85-1	NC_023028.1	3577588	3668046	arylpolyene - furan - hserlactone - t1nrps hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_023028.1/3577588-3668046	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000505685.1/NC_023028/1/3577588/3668046
Actinokineospora	inagensis	DSM 44258	NZ_AXWW01000032.1	51698	72697	furan	False	oxalomycin B	6	BGC0001106	https://antismash-db.secondarymetabolites.org/go/NZ_AXWW01000032.1/51698-72697	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000482865.1/NZ_AXWW01000032/1/51698/72697
Ralstonia	solanacearum	FJAT-1458	NZ_CP016554.1	3329778	3350644	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP016554.1/3329778-3350644	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001887535.1/NZ_CP016554/1/3329778/3350644
Ralstonia	solanacearum	RSCM	NZ_CP022789.1	1773105	1793975	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP022789.1/1773105-1793975	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003515185.1/NZ_CP022789/1/1773105/1793975
Ralstonia	solanacearum	RSCM	NZ_CP052110.1	3151281	3172148	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP052110.1/3151281-3172148	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013306655.1/NZ_CP052110/1/3151281/3172148
Vibrio	cholerae	N2807	NZ_VSHQ01000066.1	187357	208359	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VSHQ01000066.1/187357-208359	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008083835.1/NZ_VSHQ01000066/1/187357/208359
Vibrio	cholerae	N2807	NZ_CP046748.1	5589	26591	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP046748.1/5589-26591	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009763045.1/NZ_CP046748/1/5589/26591
Humibacter	Unclassified	WJ7-1	NZ_CP042305.1	3165982	3186894	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP042305.1/3165982-3186894	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007859675.1/NZ_CP042305/1/3165982/3186894
Vibrio	hyugaensis	100512A	NZ_BBLE01000015.1	298158	319148	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_BBLE01000015.1/298158-319148	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000818455.1/NZ_BBLE01000015/1/298158/319148
Kitasatospora	aureofaciens	DM-1	NZ_CP020567.1	607112	648063	butyrolactone - furan - pks-like hybrid	False	neocarzinostatin	4	BGC0000112	https://antismash-db.secondarymetabolites.org/go/NZ_CP020567.1/607112-648063	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002082605.1/NZ_CP020567/1/607112/648063
Sphingobacterium	mizutaii	SM2	NZ_JACLGQ010000001.1	998676	1019618	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JACLGQ010000001.1/998676-1019618	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014219045.1/NZ_JACLGQ010000001/1/998676/1019618
Ralstonia	solanacearum	Rs-10-244	NZ_CM002755.1	601621	622496	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CM002755.1/601621-622496	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000671315.1/NZ_CM002755/1/601621/622496
Vibrio	cholerae	N2807	NZ_CP053803.1	1128247	1149249	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP053803.1/1128247-1149249	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013357685.1/NZ_CP053803/1/1128247/1149249
Arthrobacter	Unclassified	JUb115	NZ_SOBS01000009.1	91559	112084	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SOBS01000009.1/91559-112084	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004365035.1/NZ_SOBS01000009/1/91559/112084
Streptomyces	hygroscopicus	KCTC 1717	NZ_CP013219.1	2836627	2865291	butyrolactone - furan hybrid	False	methylenomycin A	19	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CP013219.1/2836627-2865291	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001447075.1/NZ_CP013219/1/2836627/2865291
Vibrio	cholerae	N2807	NZ_VSFP01000012.1	221920	242922	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VSFP01000012.1/221920-242922	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008084855.1/NZ_VSFP01000012/1/221920/242922
Streptomyces	viridosporus	ATCC 39115	NZ_CP023700.1	480366	527437	furan - nrps-like - t1pks hybrid	False	chlorothricin / deschlorothricin	13	BGC0000036	https://antismash-db.secondarymetabolites.org/go/NZ_CP023700.1/480366-527437	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008704515.1/NZ_CP023700/1/480366/527437
Vibrio	gazogenes	DSM 21264	NZ_FQUH01000012.1	41700	62552	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FQUH01000012.1/41700-62552	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900129185.1/NZ_FQUH01000012/1/41700/62552
Streptococcus	equi	4047	NC_012471.1	2186568	2207495	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_012471.1/2186568-2207495	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000026585.1/NC_012471/1/2186568/2207495
Ralstonia	solanacearum	RSCM	NZ_CDMD01000001.1	3543695	3564631	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CDMD01000001.1/3543695-3564631	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000825825.1/NZ_CDMD01000001/1/3543695/3564631
Vibrio	cholerae	N2807	NZ_CP053809.1	1150107	1171109	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP053809.1/1150107-1171109	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013357765.1/NZ_CP053809/1/1150107/1171109
Ralstonia	solanacearum	RSCM	NZ_CP022774.1	2622767	2643637	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP022774.1/2622767-2643637	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003515325.1/NZ_CP022774/1/2622767/2643637
Streptomyces	griseorubiginosus	BTU6	NZ_KQ948177.1	351650	396465	furan - t1pks hybrid	False	methylenomycin A	19	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_KQ948177.1/351650-396465	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001513985.1/NZ_KQ948177/1/351650/396465
Saccharothrix	espanaensis	type strain: DSM 44229	NC_019673.1	2219932	2241042	furan	False	asukamycin	32	BGC0000187	https://antismash-db.secondarymetabolites.org/go/NC_019673.1/2219932-2241042	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000328705.1/NC_019673/1/2219932/2241042
Stigmatella	aurantiaca	DW4/3-1	NC_014623.1	4312581	4375835	furan - t1nrps - terpene hybrid	False	myxochelin A / myxochelin B	100	BGC0001345	https://antismash-db.secondarymetabolites.org/go/NC_014623.1/4312581-4375835	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000165485.1/NC_014623/1/4312581/4375835
Bacillus	cereus	FORC087	NZ_NUKE01000025.1	0	16372	furan	True	methylenomycin A	14	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_NUKE01000025.1/0-16372	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002576265.1/NZ_NUKE01000025/1/0/16372
Vibrio	cholerae	N2807	NZ_VSHY01000013.1	210314	231316	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VSHY01000013.1/210314-231316	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008083665.1/NZ_VSHY01000013/1/210314/231316
Vibrio	cholerae	N2807	NZ_NMTB01000009.1	68320	89322	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_NMTB01000009.1/68320-89322	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002284185.1/NZ_NMTB01000009/1/68320/89322
Sphingobacterium	mizutaii	SM2	NZ_JACLGP010000007.1	41799	62741	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JACLGP010000007.1/41799-62741	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014219015.1/NZ_JACLGP010000007/1/41799/62741
Streptomyces	ambofaciens	DSM 40697	NZ_CP012949.1	4078222	4099236	furan	False	methylenomycin A	9	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CP012949.1/4078222-4099236	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001632865.1/NZ_CP012949/1/4078222/4099236
Ralstonia	solanacearum	RSCM	NZ_CP021448.1	1860533	1881400	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP021448.1/1860533-1881400	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002162015.1/NZ_CP021448/1/1860533/1881400
Actinomyces	viscosus	C505	NZ_KI391969.1	198328	219324	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KI391969.1/198328-219324	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000175315.3/NZ_KI391969/1/198328/219324
Streptococcus	salivarius	None	NZ_LR793270.1	2044686	2065625	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LR793270.1/2044686-2065625	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902859035.1/NZ_LR793270/1/2044686/2065625
Streptomyces	hygroscopicus	5008	NC_017765.1	4591928	4620507	butyrolactone - furan hybrid	False	methylenomycin A	19	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NC_017765.1/4591928-4620507	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000245355.1/NC_017765/1/4591928/4620507
Pseudomonas	syringae	ICMP 18708	NZ_CP012179.1	729561	750497	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP012179.1/729561-750497	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000344355.2/NZ_CP012179/1/729561/750497
Sphingobacterium	mizutaii	SM2	NZ_LT906468.1	1976588	1997530	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LT906468.1/1976588-1997530	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900187125.1/NZ_LT906468/1/1976588/1997530
Streptococcus	equi	H70	NZ_CP046041.1	2010136	2031063	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP046041.1/2010136-2031063	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009676725.1/NZ_CP046041/1/2010136/2031063
Vibrio	cholerae	N2807	NZ_CP053821.1	1108251	1129253	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP053821.1/1108251-1129253	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013357865.1/NZ_CP053821/1/1108251/1129253
Vibrio	cholerae	N2807	NZ_NMTN01000007.1	84463	105465	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_NMTN01000007.1/84463-105465	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002284395.1/NZ_NMTN01000007/1/84463/105465
Vibrio	mimicus	07-2442	NZ_CP046824.1	0	19744	furan	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP046824.1/0-19744	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009764005.1/NZ_CP046824/1/0/19744
Vibrio	mimicus	07-2442	NZ_CP016384.1	917163	938165	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP016384.1/917163-938165	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001767355.1/NZ_CP016384/1/917163/938165
Ralstonia	solanacearum	Rs-09-161	NZ_CM002757.1	605614	626481	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CM002757.1/605614-626481	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000671335.1/NZ_CM002757/1/605614/626481
Ralstonia	solanacearum	RSCM	NZ_JABZEH010000001.1	3322094	3342961	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JABZEH010000001.1/3322094-3342961	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014210345.1/NZ_JABZEH010000001/1/3322094/3342961
Streptococcus	equi	ATCC 35246	NC_017582.1	2103654	2124581	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_017582.1/2103654-2124581	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000219765.1/NC_017582/1/2103654/2124581
Vibrio	cholerae	N2807	NZ_VSHB01000075.1	397077	418079	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VSHB01000075.1/397077-418079	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008084325.1/NZ_VSHB01000075/1/397077/418079
Vibrio	cholerae	N2807	NZ_LS997868.1	214848	235850	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LS997868.1/214848-235850	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900538065.1/NZ_LS997868/1/214848/235850
Streptococcus	equinus	SI	NZ_FNKC01000001.1	970803	991712	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FNKC01000001.1/970803-991712	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900099885.1/NZ_FNKC01000001/1/970803/991712
