#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Streptococcus	salivarius	CCHSS3	NC_015760.1	742809	776926	lanthipeptide - ras-ripp hybrid	False	salivaricin 9	100	BGC0000547	https://antismash-db.secondarymetabolites.org/go/NC_015760.1/742809-776926	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000253335.1/NC_015760/1/742809/776926
Streptococcus	equi	H70	NC_012470.1	1371339	1392139	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_012470.1/1371339-1392139	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000026605.1/NC_012470/1/1371339/1392139
Streptococcus	equi	H70	NC_012470.1	1953789	1975971	ras-ripp	False	WGK	80	BGC0001929	https://antismash-db.secondarymetabolites.org/go/NC_012470.1/1953789-1975971	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000026605.1/NC_012470/1/1953789/1975971
Streptococcus	thermophilus	None	NZ_LR822030.1	853586	875931	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LR822030.1/853586-875931	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_903890795.1/NZ_LR822030/1/853586/875931
Streptococcus	thermophilus	None	NZ_LR822030.1	1401160	1423585	ras-ripp	False	streptide	100	BGC0001209	https://antismash-db.secondarymetabolites.org/go/NZ_LR822030.1/1401160-1423585	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_903890795.1/NZ_LR822030/1/1401160/1423585
Streptococcus	thermophilus	M17PTZA496	NZ_CM002372.1	944772	967667	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CM002372.1/944772-967667	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000521265.1/NZ_CM002372/1/944772/967667
Streptococcus	thermophilus	M17PTZA496	NZ_CM002372.1	1502046	1524471	ras-ripp	False	streptide	100	BGC0001209	https://antismash-db.secondarymetabolites.org/go/NZ_CM002372.1/1502046-1524471	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000521265.1/NZ_CM002372/1/1502046/1524471
Streptococcus	thermophilus	None	NZ_CP035306.1	367210	387177	ras-ripp	False	streptide	100	BGC0001209	https://antismash-db.secondarymetabolites.org/go/NZ_CP035306.1/367210-387177	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004114735.1/NZ_CP035306/1/367210/387177
Streptococcus	thermophilus	None	NZ_CP035306.1	869133	888960	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP035306.1/869133-888960	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004114735.1/NZ_CP035306/1/869133/888960
Streptococcus	thermophilus	None	NZ_CP035306.1	1774917	1794836	ras-ripp	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP035306.1/1774917-1794836	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004114735.1/NZ_CP035306/1/1774917/1794836
Streptococcus	oralis	DD24	NZ_KQ970235.1	1066521	1088833	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KQ970235.1/1066521-1088833	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001579025.1/NZ_KQ970235/1/1066521/1088833
Streptococcus	intermedius	631_SCON	NZ_BHYT01000001.1	138234	161497	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_BHYT01000001.1/138234-161497	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008975305.1/NZ_BHYT01000001/1/138234/161497
Streptococcus	intermedius	631_SCON	NZ_BHYT01000010.1	38215	60515	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_BHYT01000010.1/38215-60515	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008975305.1/NZ_BHYT01000010/1/38215/60515
Streptococcus	Unclassified	UMB0029	NZ_PNGD01000002.1	271	37768	furan - ras-ripp hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_PNGD01000002.1/271-37768	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002871495.1/NZ_PNGD01000002/1/271/37768
Streptococcus	salivarius	None	NZ_CP054153.1	1331209	1353501	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP054153.1/1331209-1353501	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013822985.1/NZ_CP054153/1/1331209/1353501
Lactococcus	lactis	CBA3619	NZ_CP042408.1	1715739	1739501	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP042408.1/1715739-1739501	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007954765.1/NZ_CP042408/1/1715739/1739501
Lactococcus	lactis	CBA3619	NZ_CP042408.1	1891658	1914049	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP042408.1/1891658-1914049	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007954765.1/NZ_CP042408/1/1891658/1914049
Streptococcus	thermophilus	None	NZ_LR822040.1	806014	840347	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LR822040.1/806014-840347	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_903891205.1/NZ_LR822040/1/806014/840347
Streptococcus	thermophilus	None	NZ_LR822040.1	1685380	1712167	lanthipeptide - ras-ripp hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LR822040.1/1685380-1712167	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_903891205.1/NZ_LR822040/1/1685380/1712167
Streptococcus	thermophilus	None	NZ_LR822032.1	824722	845128	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LR822032.1/824722-845128	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_903890945.1/NZ_LR822032/1/824722/845128
Streptococcus	thermophilus	None	NZ_LR822032.1	1764864	1791654	lanthipeptide - ras-ripp hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LR822032.1/1764864-1791654	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_903890945.1/NZ_LR822032/1/1764864/1791654
Streptococcus	salivarius	None	NZ_LS483366.1	732791	755216	ras-ripp	False	streptide	75	BGC0001209	https://antismash-db.secondarymetabolites.org/go/NZ_LS483366.1/732791-755216	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900475225.1/NZ_LS483366/1/732791/755216
Lactococcus	lactis	KF147	NC_013656.1	2446357	2472799	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_013656.1/2446357-2472799	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000025045.1/NC_013656/1/2446357/2472799
Lactococcus	Unclassified	1JSPR-7	NZ_CP032627.1	2159398	2181776	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP032627.1/2159398-2181776	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003627095.1/NZ_CP032627/1/2159398/2181776
Streptococcus	thermophilus	TH985	NZ_CM003139.1	796820	818472	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CM003139.1/796820-818472	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000836675.1/NZ_CM003139/1/796820/818472
Streptococcus	thermophilus	TH985	NZ_CM003139.1	1704411	1726550	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CM003139.1/1704411-1726550	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000836675.1/NZ_CM003139/1/1704411/1726550
Lactococcus	lactis	S0	NZ_CP015897.1	47828	69162	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP015897.1/47828-69162	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002078435.1/NZ_CP015897/1/47828/69162
Lactococcus	lactis	S0	NZ_CP015897.1	1222703	1245210	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP015897.1/1222703-1245210	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002078435.1/NZ_CP015897/1/1222703/1245210
Lactococcus	lactis	S0	NZ_CP015897.1	2343923	2367827	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP015897.1/2343923-2367827	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002078435.1/NZ_CP015897/1/2343923/2367827
Streptococcus	thermophilus	None	NZ_LR822008.1	871717	893625	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LR822008.1/871717-893625	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_903885985.1/NZ_LR822008/1/871717/893625
Streptococcus	thermophilus	None	NZ_LR822008.1	1258473	1280898	ras-ripp	False	streptide	100	BGC0001209	https://antismash-db.secondarymetabolites.org/go/NZ_LR822008.1/1258473-1280898	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_903885985.1/NZ_LR822008/1/1258473/1280898
Streptococcus	suis	HNAY30	NZ_FIGJ01000014.1	895	23291	ras-ripp	False	streptide	75	BGC0001209	https://antismash-db.secondarymetabolites.org/go/NZ_FIGJ01000014.1/895-23291	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900063575.1/NZ_FIGJ01000014/1/895/23291
Streptococcus	equi	H70	NZ_LS483328.1	779856	802086	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LS483328.1/779856-802086	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900474875.1/NZ_LS483328/1/779856/802086
Lactococcus	lactis	C4	NZ_QMJD01000004.1	15986	42394	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_QMJD01000004.1/15986-42394	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003346395.1/NZ_QMJD01000004/1/15986/42394
Streptococcus	Unclassified	HMSC056C01	NZ_KV804209.1	196007	219620	ras-ripp	False	macedocin	14	BGC0000526	https://antismash-db.secondarymetabolites.org/go/NZ_KV804209.1/196007-219620	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001811305.1/NZ_KV804209/1/196007/219620
Enterococcus	cecorum	197EA2	NZ_KZ845716.1	150756	213791	ras-ripp - t1nrps hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KZ845716.1/150756-213791	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003319285.1/NZ_KZ845716/1/150756/213791
Streptococcus	thermophilus	None	NZ_LR822037.1	814169	850498	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LR822037.1/814169-850498	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_903891135.1/NZ_LR822037/1/814169/850498
Streptococcus	mutans	NG8	NZ_CP044493.1	1400507	1422686	ras-ripp	False	WGK	80	BGC0001929	https://antismash-db.secondarymetabolites.org/go/NZ_CP044493.1/1400507-1422686	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008831325.1/NZ_CP044493/1/1400507/1422686
Streptococcus	pneumoniae	SMRU106	NZ_FEBQ01000021.1	0	24597	bacteriocin - ras-ripp hybrid	True	thermophilin 1277	20	BGC0000561	https://antismash-db.secondarymetabolites.org/go/NZ_FEBQ01000021.1/0-24597	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900042815.1/NZ_FEBQ01000021/1/0/24597
Enterococcus	faecalis	4928STDY7071546	NZ_KZ845960.1	167794	192087	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KZ845960.1/167794-192087	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003319625.1/NZ_KZ845960/1/167794/192087
Streptococcus	oralis	DD24	NZ_KQ970370.1	299920	322231	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KQ970370.1/299920-322231	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001579095.1/NZ_KQ970370/1/299920/322231
Streptococcus	thermophilus	None	NZ_LR822012.1	814233	837460	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LR822012.1/814233-837460	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_903886285.1/NZ_LR822012/1/814233/837460
Streptococcus	mutans	NG8	NZ_CP050270.1	487078	509257	ras-ripp	False	WGK	80	BGC0001929	https://antismash-db.secondarymetabolites.org/go/NZ_CP050270.1/487078-509257	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_011765485.1/NZ_CP050270/1/487078/509257
Streptococcus	thermophilus	TH1435	NZ_CM002369.1	815102	836837	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CM002369.1/815102-836837	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000521285.1/NZ_CM002369/1/815102/836837
Streptococcus	thermophilus	TH1435	NZ_CM002369.1	1310503	1332795	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CM002369.1/1310503-1332795	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000521285.1/NZ_CM002369/1/1310503/1332795
Streptococcus	equi	H70	NZ_LS483325.1	748504	769357	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LS483325.1/748504-769357	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900474805.1/NZ_LS483325/1/748504/769357
Streptococcus	equi	H70	NZ_LS483325.1	1568676	1590858	ras-ripp	False	WGK	80	BGC0001929	https://antismash-db.secondarymetabolites.org/go/NZ_LS483325.1/1568676-1590858	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900474805.1/NZ_LS483325/1/1568676/1590858
Lactococcus	lactis	S0	NZ_CP015908.1	46095	67429	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP015908.1/46095-67429	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002078855.1/NZ_CP015908/1/46095/67429
Lactococcus	lactis	S0	NZ_CP015908.1	1140603	1161737	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP015908.1/1140603-1161737	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002078855.1/NZ_CP015908/1/1140603/1161737
Lactococcus	lactis	S0	NZ_CP015908.1	2261106	2285009	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP015908.1/2261106-2285009	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002078855.1/NZ_CP015908/1/2261106/2285009
Streptococcus	suis	HNAY30	NZ_CP029398.1	1741130	1763526	ras-ripp	False	streptide	75	BGC0001209	https://antismash-db.secondarymetabolites.org/go/NZ_CP029398.1/1741130-1763526	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003144175.1/NZ_CP029398/1/1741130/1763526
Streptococcus	intermedius	631_SCON	NZ_PNRP01000002.1	207551	231263	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_PNRP01000002.1/207551-231263	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002879755.1/NZ_PNRP01000002/1/207551/231263
Lactococcus	lactis	CBA3619	NZ_CP035757.1	936883	962375	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP035757.1/936883-962375	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004194355.1/NZ_CP035757/1/936883/962375
Lactococcus	lactis	CBA3619	NZ_CP035757.1	1105071	1127462	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP035757.1/1105071-1127462	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004194355.1/NZ_CP035757/1/1105071/1127462
Streptococcus	suis	HNAY30	NZ_FIGU01000009.1	40305	58688	ras-ripp	True	streptide	75	BGC0001209	https://antismash-db.secondarymetabolites.org/go/NZ_FIGU01000009.1/40305-58688	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900056835.1/NZ_FIGU01000009/1/40305/58688
Streptococcus	suis	HNAY30	NZ_FIGU01000034.1	9555	24468	ras-ripp	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FIGU01000034.1/9555-24468	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900056835.1/NZ_FIGU01000034/1/9555/24468
Streptococcus	Unclassified	HMSC073F11	NZ_KV802690.1	328153	350706	ras-ripp - sactipeptide hybrid	False	macedocin	14	BGC0000526	https://antismash-db.secondarymetabolites.org/go/NZ_KV802690.1/328153-350706	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001810785.1/NZ_KV802690/1/328153/350706
Bacillus	cereus	HuA4-10	NZ_JH792148.1	88868	112968	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JH792148.1/88868-112968	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000291075.1/NZ_JH792148/1/88868/112968
Streptococcus	thermophilus	JIM 8232	NC_017581.1	928517	950860	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_017581.1/928517-950860	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000253395.1/NC_017581/1/928517/950860
Streptococcus	thermophilus	JIM 8232	NC_017581.1	1326455	1346525	ras-ripp	False	streptide	100	BGC0001209	https://antismash-db.secondarymetabolites.org/go/NC_017581.1/1326455-1346525	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000253395.1/NC_017581/1/1326455/1346525
Streptococcus	thermophilus	JIM 8232	NC_017581.1	1486243	1507442	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_017581.1/1486243-1507442	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000253395.1/NC_017581/1/1486243/1507442
Streptococcus	thermophilus	JIM 8232	NC_017581.1	1850408	1872710	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_017581.1/1850408-1872710	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000253395.1/NC_017581/1/1850408/1872710
Streptococcus	thermophilus	None	NZ_CP017064.1	873025	895376	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP017064.1/873025-895376	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002286255.1/NZ_CP017064/1/873025/895376
Streptococcus	thermophilus	None	NZ_CP017064.1	1269114	1288348	ras-ripp	False	streptide	100	BGC0001209	https://antismash-db.secondarymetabolites.org/go/NZ_CP017064.1/1269114-1288348	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002286255.1/NZ_CP017064/1/1269114/1288348
Streptococcus	thermophilus	None	NZ_CP017064.1	1780106	1806892	lanthipeptide - ras-ripp hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP017064.1/1780106-1806892	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002286255.1/NZ_CP017064/1/1780106/1806892
Streptococcus	salivarius	None	NZ_CP015283.1	1264147	1286572	ras-ripp	False	streptide	75	BGC0001209	https://antismash-db.secondarymetabolites.org/go/NZ_CP015283.1/1264147-1286572	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002094975.1/NZ_CP015283/1/1264147/1286572
Streptococcus	mutans	NG8	NZ_CP023477.1	625899	648078	ras-ripp	False	WGK	80	BGC0001929	https://antismash-db.secondarymetabolites.org/go/NZ_CP023477.1/625899-648078	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002995555.1/NZ_CP023477/1/625899/648078
Lactobacillus	murinus	EF-1	NZ_CP040852.1	2456375	2478891	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP040852.1/2456375-2478891	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_010586905.1/NZ_CP040852/1/2456375/2478891
Streptococcus	dysgalactiae	DB60705-15	NZ_LR134094.1	948773	972039	ras-ripp	False	thermophilin 1277	40	BGC0000561	https://antismash-db.secondarymetabolites.org/go/NZ_LR134094.1/948773-972039	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900635345.1/NZ_LR134094/1/948773/972039
Streptococcus	intermedius	JTH08	NC_018073.1	133835	157098	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_018073.1/133835-157098	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000306805.1/NC_018073/1/133835/157098
Lactococcus	lactis	GL2	NZ_JNCC03000023.1	122165	145383	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JNCC03000023.1/122165-145383	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000721865.3/NZ_JNCC03000023/1/122165/145383
Lactococcus	lactis	GL2	NZ_JNCC03000047.1	104	24009	ras-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JNCC03000047.1/104-24009	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000721865.3/NZ_JNCC03000047/1/104/24009
Streptococcus	suis	HNAY30	NZ_FIMB01000003.1	212389	225390	ras-ripp	True	streptide	75	BGC0001209	https://antismash-db.secondarymetabolites.org/go/NZ_FIMB01000003.1/212389-225390	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900053165.1/NZ_FIMB01000003/1/212389/225390
